REF_AREA,MEASURE,TIME_PERIOD,OBS_VALUE
AUT,SF,2011,316.785
AUT,CH4,2012,7496.459
AUT,CO2,2012,61365.614
AUT,HFC,2012,1599.074
AUT,N2O,2012,3184.27
AUT,PFC,2012,45.953
AUT,SF,2012,321.454
AUT,CH4,2013,7375.830000000001
AUT,CO2,2013,61385.35
AUT,HFC,2013,1689.196
AUT,N2O,2013,3167.3830000000003
AUT,PFC,2013,44.624
AUT,SF,2013,314.694
AUT,CH4,2014,7217.369
AUT,CO2,2014,56417.522
AUT,HFC,2014,1787.235
AUT,N2O,2014,3246.733
AUT,PFC,2014,48.023
AUT,SF,2014,323.623
AUT,CH4,2015,7130.224999999999
AUT,CO2,2015,59656.063
AUT,HFC,2015,1896.858
AUT,N2O,2015,3261.677
AUT,PFC,2015,44.893
AUT,SF,2015,319.051
AUT,CH4,2016,7049.958
AUT,CO2,2016,60087.496
AUT,HFC,2016,1884.443
AUT,N2O,2016,3350.322
AUT,PFC,2016,45.652
AUT,SF,2016,404.898
AUT,CH4,2017,7020.134999999999
AUT,CO2,2017,66213.017
AUT,HFC,2017,1892.293
AUT,N2O,2017,3294.4370000000004
AUT,PFC,2017,39.752
AUT,SF,2017,412.208
AUT,CH4,2018,6784.689
AUT,CO2,2018,71347.85800000001
AUT,HFC,2018,1945.85
AUT,N2O,2018,3253.824
AUT,PFC,2018,29.398
AUT,SF,2018,398.184
AUT,CH4,2019,6635.303
AUT,CO2,2019,69945.204
AUT,HFC,2019,1801.571
AUT,N2O,2019,3247.28
AUT,PFC,2019,34.703
AUT,SF,2019,449.817
AUT,CH4,2020,6529.8150000000005
AUT,CO2,2020,56757.367
AUT,HFC,2020,1704.965
AUT,N2O,2020,3203.692
AUT,PFC,2020,27.02
AUT,SF,2020,454.515
AUT,CH4,2021,6526.383000000001
AUT,CO2,2021,55477.761
AUT,HFC,2021,1485.823
AUT,N2O,2021,3234.791
AUT,PFC,2021,23.404
AUT,SF,2021,370.527
BEL,CH4,1990,12900.128
BEL,CO2,1990,117350.676
BEL,N2O,1990,8956.429
